110;3;;Jaroslav Havlíček;Petrolejové lampy;
111;3;;Egon Hostovský;Sedmkrát v hlavní úloze;
112;3;;Bohumil Hrabal;Příliš hlučná samota;
113;3;0;František Hrubín;Romance pro křídlovku;
114;3;0;Karel Hynek;Babička po pitvě;
115;3;0;Ivan Martin Jirous;Magorovy labutí písně;
116;3;0;Josef Kainar;Moje blues;
117;3;;Ladislav Klíma;Slavná Nemesis;
118;3;;Pavel Kohout;Katyně;
119;3;0;Jiří Kolář;Dny v roce;
120;3;;Vladimír Körner;Adelheid;
121;3;0;Karel Kryl;Kníška Karla Kryla;
122;3;;Milan Kundera;Směšné lásky;
123;3;;Milan Kundera;Žert;
124;3;;Arnošt Lustig;Modlitba pro Kateřinu Horovitzovou;
125;3;0;Vítězslav Nezval;Edison;
126;3;;Vladimír Páral;Soukromá vichřice;
127;3;;Ota Pavel;Smrt krásných srnců;
128;3;0;Jaroslav Seifert;Ruce Venušiny;
129;3;0;Jaroslav Seifert;Koncert na ostrově ;
130;3;0;Jan Skácel;Smuténka;
131;3;1;Jiří Suchý;Člověk z půdy;
132;3;0;Karel Šiktanc;Heinovské noci;
133;3;;Josef Škvorecký;Zbabělci;
134;3;1;Josef Topol;Konec masopustu;
135;3;;Vladislav Vančura;Markéta Lazarová;
136;3;;Vladislav Vančura;Rozmarné léto;
137;3;1;Jiří Voskovec – Jan Werich;Osel a stín;
138;3;1;Ivan Vyskočil;Cesta do Úbic;
139;3;;Jiří Weil;Život s hvězdou;
140;3;0;Jan Zahradníček;Znamení moci;
141;4;;Michal Ajvaz;Druhé město;
142;4;;Svjatlana Aleksejevič;Modlitba za Černobyl;
143;4;;Jan Balabán;Jsme tady;
144;4;;Irena Dousková;Oněgin byl Rusák;
145;4;;Cormac McCarthy;Cesta;
146;4;;Ian McEwan;Pokání;
147;4;;Jiří Hájíček;Selský baroko;
148;4;;Petra Hůlová;Paměť mojí babičce;
149;4;;Pasi Ilmari Jääskeläinen;Literární spolek Laury Sněžné;
150;4;;Jiří Kratochvil;Herec;
151;4;;Terry Pratchett;Maškaráda ;
152;4;;Philip Roth;Spiknutí proti Americe;
153;4;;Jaroslav Rudiš;Konec punku v Helsinkách;
154;4;;Marjane Satrapi;Persepolis;
155;4;1;Roland Schimmelpfennig;Arabská noc;
156;4;1;Ladislav Smoljak – Zdeněk Svěrák;Záskok;
157;4;;Petra Soukupová;K moři;
158;4;;Alan Hollinghurst;Linie krásy;
159;4;;Jáchym Topol;Výlet k nádražní hale;
160;4;;Miloš Urban;Sedmikostelí;
161;4;;Elena Ferrante;Geniální přítelkyně - 1. díl;
162;4;;Olga Tokarczuk;Svůj vůz i pluh veď přes kosti mrtvých;
163;4;;Kazuo Ishiguro;Neopouštěj mě;
164;4;;Jakuba Katalpa;Němci;
165;4;1;Martin McDonagh;Osiřelý západ;
166;4;0;Jan Těsnohlídek ml.;Násilí bez předsudků;
167;4;;Édouard Louis;Skoncovat s Eddym B.;
